time,healthy,sick,recovered,dead
1.520000,182,14,0,0
1.525000,181,14,0,1
1.530000,180,14,0,2
1.535000,180,14,0,2
1.540000,180,14,0,2
1.545000,180,14,0,2
1.550000,179,15,0,2
1.555000,178,16,0,2
1.560000,178,16,0,2
1.565000,178,16,0,2
1.570000,178,16,0,2
1.575000,177,17,0,2
1.580000,177,17,0,2
1.585000,175,19,0,2
1.590000,175,19,0,2
1.595000,175,19,0,2
1.600000,175,19,0,2
1.605000,175,19,0,2
1.610000,175,19,0,2
1.615000,175,19,0,2
1.620000,175,19,0,2
1.625000,175,19,0,2
1.630000,175,19,0,2
1.635000,175,19,0,2
1.640000,175,19,0,2
1.645000,175,19,0,2
1.650000,175,19,0,2
1.655000,174,20,0,2
1.660000,174,20,0,2
1.665000,174,20,0,2
1.670000,174,20,0,2
1.675000,174,20,0,2
1.680000,174,20,0,2
1.685000,174,20,0,2
1.690000,173,21,0,2
1.695000,171,23,0,2
1.700000,171,23,0,2
1.705000,171,23,0,2
1.710000,171,23,0,2
1.715000,171,23,0,2
1.720000,171,23,0,2
1.725000,171,23,0,2
1.730000,171,23,0,2
1.735000,171,23,0,2
1.740000,171,23,0,2
1.745000,171,23,0,2
1.750000,170,23,0,3
1.755000,170,23,0,3
1.760000,170,23,0,3
1.765000,169,24,0,3
1.770000,169,24,0,3
1.775000,169,24,0,3
1.780000,169,24,0,3
1.785000,169,24,0,3
1.790000,167,26,0,3
1.795000,166,27,0,3
1.800000,166,27,0,3
1.805000,166,27,0,3
1.810000,165,28,0,3
1.815000,164,28,0,4
1.820000,163,29,0,4
1.825000,163,29,0,4
1.830000,161,31,0,4
1.835000,161,31,0,4
1.840000,161,31,0,4
1.845000,161,31,0,4
1.850000,160,32,0,4
1.855000,160,32,0,4
1.860000,160,32,0,4
1.865000,160,32,0,4
1.870000,159,33,0,4
1.875000,159,33,0,4
1.880000,158,34,0,4
1.885000,156,36,0,4
1.890000,156,36,0,4
1.895000,154,38,0,4
1.900000,152,40,0,4
1.905000,152,40,0,4
1.910000,152,40,0,4
1.915000,152,40,0,4
1.920000,152,40,0,4
1.925000,152,40,0,4
1.930000,151,41,0,4
